,true_distrib,alter_distrib,method,sign_level,wasserstein_p,wasserstein_order,mc_loops,n_signature,n_test,topo_min,topo_mean,topo_max,topo_quantile,ks,ks_d
0,N01xN01xN01xN01xN01,N01xN01xN01xN01xN01,ecc,0.05,1,1,250,750,750,0.8746666666666667,0.944,0.4013333333333333,0.948,[],[]
1,N01xN01xN01xN01xN01,T3xT3xT3xT3xT3,ecc,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
2,N01xN01xN01xN01xN01,T5xT5xT5xT5xT5,ecc,0.05,1,1,250,750,750,0.04933333333333333,0.0,0.0,0.0,[],[]
3,N01xN01xN01xN01xN01,T10xT10xT10xT10xT10,ecc,0.05,1,1,250,750,750,0.6946666666666667,0.456,0.13466666666666666,0.37333333333333335,[],[]
4,N01xN01xN01xN01xN01,N01xT5xT5xT4xT5,ecc,0.05,1,1,250,750,750,0.33866666666666667,0.0013333333333333333,0.0,0.0,[],[]
5,N01xN01xN01xN01xN01,N01xN01xT5xT5xT5,ecc,0.05,1,1,250,750,750,0.4573333333333333,0.037333333333333336,0.0,0.008,[],[]
6,N01xN01xN01xN01xN01,N01xN01xN01xN01xT5,ecc,0.05,1,1,250,750,750,0.8466666666666667,0.8426666666666667,0.02266666666666667,0.7733333333333333,[],[]
7,N01xN01xN01xN01xN01,LapxLapxLapxLapxLap,ecc,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
8,N01xN01xN01xN01xN01,N01xN01xLapxLapxLap,ecc,0.05,1,1,250,750,750,0.05333333333333334,0.0,0.0,0.0,[],[]
9,T3xT3xT3xT3xT3,N01xN01xN01xN01xN01,ecc,0.05,1,1,250,750,750,0.388,0.9333333333333333,1.0,0.9453333333333334,[],[]
10,T3xT3xT3xT3xT3,T3xT3xT3xT3xT3,ecc,0.05,1,1,250,750,750,0.9346666666666666,0.96,1.0,0.9493333333333334,[],[]
11,T3xT3xT3xT3xT3,T5xT5xT5xT5xT5,ecc,0.05,1,1,250,750,750,0.7853333333333333,0.9466666666666667,1.0,0.9493333333333334,[],[]
12,T3xT3xT3xT3xT3,T10xT10xT10xT10xT10,ecc,0.05,1,1,250,750,750,0.5693333333333334,0.944,1.0,0.9466666666666667,[],[]
13,T3xT3xT3xT3xT3,N01xT5xT5xT4xT5,ecc,0.05,1,1,250,750,750,0.748,0.9466666666666667,1.0,0.948,[],[]
14,T3xT3xT3xT3xT3,N01xN01xT5xT5xT5,ecc,0.05,1,1,250,750,750,0.7306666666666667,0.9453333333333334,1.0,0.9466666666666667,[],[]
15,T3xT3xT3xT3xT3,N01xN01xN01xN01xT5,ecc,0.05,1,1,250,750,750,0.5226666666666666,0.936,1.0,0.9453333333333334,[],[]
16,T3xT3xT3xT3xT3,LapxLapxLapxLapxLap,ecc,0.05,1,1,250,750,750,0.7773333333333333,0.948,1.0,0.9493333333333334,[],[]
17,T3xT3xT3xT3xT3,N01xN01xLapxLapxLap,ecc,0.05,1,1,250,750,750,0.7253333333333334,0.9466666666666667,1.0,0.948,[],[]
18,T5xT5xT5xT5xT5,N01xN01xN01xN01xN01,ecc,0.05,1,1,250,750,750,0.49733333333333335,0.8373333333333334,1.0,0.9146666666666666,[],[]
19,T5xT5xT5xT5xT5,T3xT3xT3xT3xT3,ecc,0.05,1,1,250,750,750,0.796,0.0,0.0,0.0,[],[]
20,T5xT5xT5xT5xT5,T5xT5xT5xT5xT5,ecc,0.05,1,1,250,750,750,0.932,0.944,0.02266666666666667,0.9426666666666667,[],[]
21,T5xT5xT5xT5xT5,T10xT10xT10xT10xT10,ecc,0.05,1,1,250,750,750,0.8146666666666667,0.9253333333333333,1.0,0.9506666666666667,[],[]
22,T5xT5xT5xT5xT5,N01xT5xT5xT4xT5,ecc,0.05,1,1,250,750,750,0.9053333333333333,0.9533333333333334,1.0,0.9613333333333334,[],[]
23,T5xT5xT5xT5xT5,N01xN01xT5xT5xT5,ecc,0.05,1,1,250,750,750,0.8466666666666667,0.9373333333333334,1.0,0.9533333333333334,[],[]
24,T5xT5xT5xT5xT5,N01xN01xN01xN01xT5,ecc,0.05,1,1,250,750,750,0.6813333333333333,0.8773333333333333,1.0,0.9266666666666666,[],[]
