,true_distrib,alter_distrib,method,sign_level,wasserstein_p,wasserstein_order,mc_loops,n_signature,n_test,topo_min,topo_mean,topo_max,topo_quantile,ks,ks_d
0,N01xN01xN01xN01xN01,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,0.944,0.928,0.948,0.936,[],[]
1,N01xN01xN01xN01xN01,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
2,N01xN01xN01xN01xN01,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
3,N01xN01xN01xN01xN01,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,0.152,0.1,0.148,0.104,[],[]
4,N01xN01xN01xN01xN01,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.016,0.008,0.012,0.008,[],[]
5,N01xN01xN01xN01xN01,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.044,0.028,0.036,0.02,[],[]
6,N01xN01xN01xN01xN01,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.496,0.524,0.652,0.564,[],[]
7,N01xN01xN01xN01xN01,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
8,N01xN01xN01xN01xN01,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,0.004,0.004,0.004,0.004,[],[]
9,T3xT3xT3xT3xT3,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,0.944,1.0,0.0,1.0,[],[]
10,T3xT3xT3xT3xT3,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.916,0.888,0.936,0.892,[],[]
11,T3xT3xT3xT3xT3,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,1.0,1.0,0.068,1.0,[],[]
12,T3xT3xT3xT3xT3,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,1.0,1.0,0.0,1.0,[],[]
13,T3xT3xT3xT3xT3,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,1.0,1.0,0.02,1.0,[],[]
14,T3xT3xT3xT3xT3,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.996,0.996,0.012,0.996,[],[]
15,T3xT3xT3xT3xT3,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.996,1.0,0.0,1.0,[],[]
16,T3xT3xT3xT3xT3,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,1.0,1.0,0.336,1.0,[],[]
17,T3xT3xT3xT3xT3,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,1.0,1.0,0.0,1.0,[],[]
18,T5xT5xT5xT5xT5,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,0.64,0.104,0.0,0.0,[],[]
19,T5xT5xT5xT5xT5,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.132,0.144,0.248,0.128,[],[]
20,T5xT5xT5xT5xT5,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.948,0.96,0.944,0.96,[],[]
21,T5xT5xT5xT5xT5,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,0.988,0.96,0.672,0.548,[],[]
22,T5xT5xT5xT5xT5,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.972,0.972,0.964,0.936,[],[]
23,T5xT5xT5xT5xT5,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.972,0.968,0.856,0.768,[],[]
24,T5xT5xT5xT5xT5,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.82,0.532,0.172,0.088,[],[]
25,T5xT5xT5xT5xT5,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.768,0.836,0.496,0.824,[],[]
26,T5xT5xT5xT5xT5,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,0.996,1.0,0.952,0.972,[],[]
27,T10xT10xT10xT10xT10,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,0.964,0.516,0.128,0.336,[],[]
28,T10xT10xT10xT10xT10,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
29,T10xT10xT10xT10xT10,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.248,0.172,0.352,0.164,[],[]
30,T10xT10xT10xT10xT10,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,0.98,0.968,0.96,0.96,[],[]
31,T10xT10xT10xT10xT10,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.468,0.42,0.664,0.416,[],[]
32,T10xT10xT10xT10xT10,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.688,0.72,0.876,0.748,[],[]
33,T10xT10xT10xT10xT10,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.924,0.832,0.624,0.776,[],[]
34,T10xT10xT10xT10xT10,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.012,0.008,0.044,0.008,[],[]
35,T10xT10xT10xT10xT10,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,0.484,0.448,0.612,0.448,[],[]
36,N01xT5xT5xT4xT5,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,0.788,0.296,0.132,0.024,[],[]
37,N01xT5xT5xT4xT5,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.028,0.02,0.112,0.016,[],[]
38,N01xT5xT5xT4xT5,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.876,0.868,0.824,0.868,[],[]
39,N01xT5xT5xT4xT5,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,1.0,0.98,0.932,0.88,[],[]
40,N01xT5xT5xT4xT5,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.956,0.964,0.944,0.964,[],[]
41,N01xT5xT5xT4xT5,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.964,0.948,0.984,0.932,[],[]
42,N01xT5xT5xT4xT5,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.96,0.788,0.624,0.4,[],[]
43,N01xT5xT5xT4xT5,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.516,0.496,0.212,0.468,[],[]
44,N01xT5xT5xT4xT5,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,0.98,0.98,0.94,0.984,[],[]
45,N01xN01xT5xT5xT5,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,0.948,0.62,0.184,0.2,[],[]
46,N01xN01xT5xT5xT5,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.004,0.004,0.088,0.004,[],[]
47,N01xN01xT5xT5xT5,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.62,0.64,0.536,0.624,[],[]
48,N01xN01xT5xT5xT5,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,0.996,0.996,0.98,0.98,[],[]
49,N01xN01xT5xT5xT5,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.844,0.848,0.828,0.84,[],[]
50,N01xN01xT5xT5xT5,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.932,0.928,0.94,0.932,[],[]
51,N01xN01xT5xT5xT5,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.972,0.932,0.716,0.708,[],[]
52,N01xN01xT5xT5xT5,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.088,0.084,0.036,0.076,[],[]
53,N01xN01xT5xT5xT5,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,0.892,0.912,0.732,0.904,[],[]
54,N01xN01xN01xN01xT5,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,1.0,1.0,0.692,0.968,[],[]
55,N01xN01xN01xN01xT5,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.0,0.0,0.016,0.0,[],[]
56,N01xN01xN01xN01xT5,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.048,0.036,0.152,0.036,[],[]
